critic,fresh,imdb,publication,quote,review_date,rtid,title
Emanuel Levy,rotten,118663.0,Variety,"Formulaic and distastefully fake, Townsend's modern fairy tale unsuccessfuly tries to combine the premise of Pretty Woman with the formats of the fish-out-of-water and culture-collision.",2006-04-26,11306.0,B*A*P*S
,rotten,118663.0,Time Out,"You can see how the black, modern-day Pygmalion-type story could work, just, but not with this heap of cabbage leaves for a script, and not with such desperately goofy acting from Berry and Desselle.",2006-01-26,11306.0,B*A*P*S
James Berardinelli,rotten,118663.0,ReelViews,"Paying movie-goers deserve more, especially from someone who has previously shown signs of genuine comic aptitude.",2000-01-01,11306.0,B*A*P*S
Janet Maslin,rotten,118663.0,New York Times,It's good for a half-hour of humor before the fun starts to dissolve.,2000-01-01,11306.0,B*A*P*S
Esther Iverem,fresh,118663.0,Washington Post,A very funny movie.,2000-01-01,11306.0,B*A*P*S
Roger Ebert,rotten,118663.0,Chicago Sun-Times,"Jaw-droppingly bad, a movie so misconceived I wonder why anyone involved wanted to make it.",2000-01-01,11306.0,B*A*P*S
Mike Clark,rotten,118663.0,USA Today,"It's the kind of movie they don't make anymore -- and when they did, it was at the bottom of the bill after onscreen ads for local merchants.",2000-01-01,11306.0,B*A*P*S
Edward Guthmann,fresh,118663.0,San Francisco Chronicle,"They both do good work, but it's Desselle who steals the film and grabs the major laughs.",2000-01-01,11306.0,B*A*P*S
,fresh,120389.0,Hollywood Reporter,A high-spirited fantasy adventure.,2008-05-14,12077.0,Turbo: A Power Rangers Movie
Joe Leydon,rotten,120389.0,Variety,"Like the TV series, the pic features makeup and special-effects gimmickry that are far less persuasive than what might be found at second-rate theme-park attractions.",2008-05-14,12077.0,Turbo: A Power Rangers Movie
Lisa Alspector,rotten,120389.0,Chicago Reader,"With minimalist and universal fantasies as their points of departure, the superheroic deeds evolve only incrementally beyond the realistic -- a deeply satisfying process.",2008-05-14,12077.0,Turbo: A Power Rangers Movie
Lawrence Van Gelder,rotten,120389.0,New York Times,Five-year-olds who have read their Shakespeare will recognize that Turbo is a lot of sound and fury signifying nothing.,2003-05-20,12077.0,Turbo: A Power Rangers Movie
Jane Horwitz,rotten,120389.0,Washington Post,A purgatory of low-budget interplanetary adventure.,2002-01-22,12077.0,Turbo: A Power Rangers Movie
Kevin Thomas,fresh,120389.0,Los Angeles Times,Turbo is a solid follow-up to the entertaining 1995 Mighty Morphin Power Rangers.,2001-02-14,12077.0,Turbo: A Power Rangers Movie
Peter Stack,rotten,120389.0,San Francisco Chronicle,It's cheesy-looking and convoluted and has as much character as a bus tire.,2000-01-01,12077.0,Turbo: A Power Rangers Movie
Mike Clark,rotten,119013.0,USA Today,"Rodman is more fun to watch here than either co-star, given his array of earrings and nose rings, plus hair that changes color more frequently than the first lady changes her do.",2000-01-01,15163.0,Double Team
Emanuel Levy,rotten,119381.0,Variety,"Cast of newcomers is appealing, but this small-town melodrama is so old-fashioned and out-of-touch with contemporary youth that it feels as if it were made the same time that its story is set, in 1957.",2007-08-08,13617.0,Inventing the Abbotts
Mike Clark,rotten,119381.0,USA Today,Would be a lot more fun were it a trashy Troy Donahue-Diane McBain vehicle ground out by Warner Bros. in 1960.,2000-01-01,13617.0,Inventing the Abbotts
Lisa Schwarzbaum,fresh,118615.0,Entertainment Weekly,"Anaconda, directed by Luis Llosa with all of the subtlety of a snake-oil salesman, is in the great tradition of cinematic cheese, as processed as Kraft Singles slices.",2010-07-06,11782.0,Anaconda
Joe Leydon,rotten,118615.0,Variety,A silly and plodding Jaws rip-off about a 40-foot man-eating snake on the prowl in the Brazilian rain forest.,2008-10-18,11782.0,Anaconda
Derek Adams,rotten,118615.0,Time Out,"One never questions the realism of the remarkable animatronic and computer-generated effects, but it's hard to credit a snake that screams.",2006-02-09,11782.0,Anaconda
Mick LaSalle,rotten,118615.0,San Francisco Chronicle,Anaconda is about a snake that eats everybody. That about says it all.,2002-06-18,11782.0,Anaconda
Kenneth Turan,fresh,118615.0,Los Angeles Times,Anaconda is such a classic combination of feckless dramaturgy and rampant excess that giving way to giggles is the only sane response.,2001-02-14,11782.0,Anaconda
Stephen Holden,fresh,118615.0,New York Times,A trashily entertaining reptilian version of Jaws set in the steaming heart of the Amazon rain forest.,2000-01-01,11782.0,Anaconda
Mike Clark,fresh,118615.0,USA Today,"It isn't art, but it'll crush your bones.",2000-01-01,11782.0,Anaconda
Roger Ebert,fresh,118615.0,Chicago Sun-Times,"It's a slick, scary, funny Creature Feature, beautifully photographed and splendidly acted in high adventure style.",2000-01-01,11782.0,Anaconda
James Berardinelli,rotten,118615.0,ReelViews,"Anaconda is trying to be a Jaws for the '90s, but, like last year's The Ghost and the Darkness, it falls short in several key areas.",2000-01-01,11782.0,Anaconda
Jonathan Rosenbaum,rotten,119229.0,Chicago Reader,"Despite some early indications from the two Cusacks and Arkin that it's going to be funny, it winds up an unholy mess that becomes steadily more incoherent -- morally, dramatically, and conceptually.",2009-11-06,12957.0,Grosse Pointe Blank
Leonard Klady,fresh,119229.0,Variety,Cusack is charming and assured in the film.,2009-03-26,12957.0,Grosse Pointe Blank
Derek Adams,fresh,119229.0,Time Out,"For what is essentially a one-joke movie, this has an awful lot going for it.",2006-06-24,12957.0,Grosse Pointe Blank
Mick LaSalle,rotten,119229.0,San Francisco Chronicle,"A soggy, all-over-the- place mess.",2002-06-18,12957.0,Grosse Pointe Blank
Rick Groen,fresh,119229.0,Globe and Mail,"An entertaining oddity, an amiably black comedy whose bared teeth double as an engaging smile: It takes a satiric bite and leaves you laughing through the pain. For that, we can thank the writers.",2002-04-12,12957.0,Grosse Pointe Blank
Peter Travers,fresh,119229.0,Rolling Stone,A bright burst of action and comedy with a cast that makes for rousing good company.,2001-05-11,12957.0,Grosse Pointe Blank
Kenneth Turan,fresh,119229.0,Los Angeles Times,"Clever enough to make jokes about Greco-Roman wrestling and make them funny, Grosse Pointe Blank's greatest success is the way it maintains its comic attitude.",2001-02-14,12957.0,Grosse Pointe Blank
Jeff Millar,fresh,119229.0,Houston Chronicle,What makes us laugh at this dark comedy is the insolence its creators hold for the very bones of their narrative.,2000-01-01,12957.0,Grosse Pointe Blank
James Berardinelli,fresh,119229.0,ReelViews,"The film offers sufficient small pleasures to make it worth enduring the less effective elements. As a result, while Grosse Pointe Blank fails to deliver a fullisade, at least the chamber's not empty, either.",2000-01-01,12957.0,Grosse Pointe Blank
Roger Ebert,fresh,119229.0,Chicago Sun-Times,The film takes the form but not the feel of a comic thriller. It's quirkier than that.,2000-01-01,12957.0,Grosse Pointe Blank
Janet Maslin,fresh,119229.0,New York Times,"Directed jauntily by George Armitage, it has the jokey, winsome tone of his earlier Miami Blues and enough wild-card energy to keep it bright and surprising.",2000-01-01,12957.0,Grosse Pointe Blank
Stephanie Zacharek,rotten,119229.0,Salon.com,"It's a sad day when an actor who's totally, beautifully in touch with his dark side finds himself stuck in a movie that's scared of its own shadow.",2000-01-01,12957.0,Grosse Pointe Blank
Susan Wloszczyna,fresh,119229.0,USA Today,"With a breezy unpredictability that belies a darker underside, Grosse Pointe Blank, directed by George Armitage, is the kind of quirky, character-driven comedy they don't make much anymore.",2000-01-01,12957.0,Grosse Pointe Blank
Emanuel Levy,rotten,119859.0,Variety,"A large cast of gifted actress, including Glenn Close and Frances McDormand, is largely wasted in Beresford's honroable but failed effort to pay tribute to a group of disparate women held captive by the Japanese in WWII.",2007-06-21,14771.0,Paradise Road
Susan Wloszczyna,rotten,119859.0,USA Today,"Even with its grueling pageant of torture and abuse at the hands of monstrously inhuman Japanese officers, Road never reaches the heart.",2000-01-01,14771.0,Paradise Road
Peter Howell,rotten,907680.0,Toronto Star,Dated and obvious.,2007-12-07,770680426.0,Walk All Over Me
Peter Travers,fresh,120032.0,Rolling Stone,Kudrow's Michele is a deadpan delight.,2001-05-11,13484.0,Romy and Michele's High School Reunion
Jack Mathews,fresh,120032.0,Los Angeles Times,Beneath the endless silliness of the movie beats a real heart,2001-02-14,13484.0,Romy and Michele's High School Reunion
Sean Means,fresh,120032.0,Film.com,"Isn't so much a movie as an overly long pilot episode of some new ""Must See TV'' sitcom.",2000-01-01,13484.0,Romy and Michele's High School Reunion
John Hartl,rotten,120032.0,Film.com,"For all its bright moments, 91 minutes turns out to be more than this joke can sustain.",2000-01-01,13484.0,Romy and Michele's High School Reunion
Robin Dougherty,fresh,120032.0,Salon.com,A one-joke story that's better crafted than it really deserves to be.,2000-01-01,13484.0,Romy and Michele's High School Reunion
James Berardinelli,fresh,120032.0,ReelViews,At its best when it's being lighthearted and at its weakest when it takes a halfhearted stab at semi-seriousness.,2000-01-01,13484.0,Romy and Michele's High School Reunion
Janet Maslin,fresh,120032.0,New York Times,"Cheerful, giddy fun",2000-01-01,13484.0,Romy and Michele's High School Reunion
Desson Thomson,fresh,120032.0,Washington Post,"A delicious comedy about bitchiness, oneupwomanship and those emotional scars left from high school days.",2000-01-01,13484.0,Romy and Michele's High School Reunion
Louis B. Parks,rotten,120032.0,Houston Chronicle,Staged more like a TV sitcom than a movie,2000-01-01,13484.0,Romy and Michele's High School Reunion
Susan Wloszczyna,rotten,120032.0,USA Today,"Writer Robin Schiff, expanding on minor characters in a play, fails to find enough for her ditsy and ditsier pair to do.",2000-01-01,13484.0,Romy and Michele's High School Reunion
Ruthe Stein,fresh,120032.0,San Francisco Chronicle,A frothy comedy with the most adorable buddies since Butch Cassidy and the Sundance Kid.,2000-01-01,13484.0,Romy and Michele's High School Reunion
Roger Ebert,fresh,120032.0,Chicago Sun-Times,Sorvino and Kudrow work easily and wickedly together.,2000-01-01,13484.0,Romy and Michele's High School Reunion
Todd McCarthy,rotten,120461.0,Variety,"Never generates a head of true excitement, partly because the characters remain constructs designed to perform defined functions, and partly due to the time-worn hokiness of the whole disaster-film format.",2009-03-26,11078.0,Volcano
,rotten,120461.0,Time Out,"Jones and Heche work hard to dig up an emotional rapport from next to nothing, while the slow but inexorable progress of the lava makes for more suspense than the usual slam bang firework display.",2006-01-26,11078.0,Volcano
Mick LaSalle,none,120461.0,San Francisco Chronicle,"A host of characters is introduced in the opening scenes, but Volcano doesn't know what to do with them. It can't make us care.",2002-06-18,11078.0,Volcano
Kenneth Turan,fresh,120461.0,Los Angeles Times,"The coast may be toast, but it's the lava, covering everything like a malevolent tide of melted butter, that makes this a disaster picture that's tastier than usual.",2001-02-14,11078.0,Volcano
Janet Maslin,rotten,120461.0,New York Times,"Like the substantially better Twister, this film insists on a thunderous, exhausting pace that inevitably becomes deflating.",2000-01-01,11078.0,Volcano
Gary Kamiya,rotten,120461.0,Salon.com,A flatulent blast of superheated air from the seething bowels of Hollywood...,2000-01-01,11078.0,Volcano
Mike Clark,rotten,120461.0,USA Today,Hundreds of screen technicians obviously slaved on the effects -- and for what? A dopey subplot about a bogus arrest. Soap opera involving Jones' injured daughter.,2000-01-01,11078.0,Volcano
Roger Ebert,rotten,120461.0,Chicago Sun-Times,"Volcano is an absolutely standard, assembly-line undertaking; no wonder one of the extras is reading a paperback titled ""Screenwriting Made Easy.""",2000-01-01,11078.0,Volcano
James Berardinelli,fresh,120461.0,ReelViews,This is one of the best pure disaster movies ever made (not that it has much competition). Congratulations to director Mick Jackson for a job well done.,2000-01-01,11078.0,Volcano
John F. Kelly,fresh,118655.0,Washington Post,"We may not need as many Austin Powers movies as there are James Bond pictures, but one or two more might be nice.",2008-04-01,10711.0,Austin Powers: International Man of Mystery
Jonathan Rosenbaum,fresh,118655.0,Chicago Reader,Jay Roach directed with just the right amount of period tackiness.,2008-04-01,10711.0,Austin Powers: International Man of Mystery
Rita Kempley,rotten,118655.0,Washington Post,"The originals were spoofs in their own way, too, unless you really believe that secret agents look more like Sean Connery than Aldrich Ames.",2008-04-01,10711.0,Austin Powers: International Man of Mystery
Leonard Klady,fresh,118655.0,Variety,"A loving paean to Bond, Flint, Helm and their ilk (as well as a myriad of outlandish villains), the film knows its turf and only missteps when it ventures into more contemporary territory.",2008-04-01,10711.0,Austin Powers: International Man of Mystery
Trevor Johnston,fresh,118655.0,Time Out,It would take a stone face not to crumple at Austin's dodgy catchphrases and irrepressible sexual desperation.,2006-06-24,10711.0,Austin Powers: International Man of Mystery
Mick LaSalle,fresh,118655.0,San Francisco Chronicle,"Spy movie parodies are common, but Myers is observant enough to notice things that others haven't.",2002-06-18,10711.0,Austin Powers: International Man of Mystery
Rick Groen,rotten,118655.0,Globe and Mail,"Mike Myers may be a connoisseur of the old spy-and-sex genre, but the result is less a screenplay than a manic quote machine.",2002-04-12,10711.0,Austin Powers: International Man of Mystery
Sean Means,rotten,118655.0,Film.com,Tasteless and humorless!,2000-01-01,10711.0,Austin Powers: International Man of Mystery
Roger Ebert,fresh,118655.0,Chicago Sun-Times,A funny movie that only gets funnier.,2000-01-01,10711.0,Austin Powers: International Man of Mystery
Laura Miller,rotten,118655.0,Salon.com,The movie fails to live up to its promise.,2000-01-01,10711.0,Austin Powers: International Man of Mystery
Susan Wloszczyna,fresh,118655.0,USA Today,"[Myer's] affection for the era and its gaudy, bawdy movies inject this bit of fluff with giddy energy.",2000-01-01,10711.0,Austin Powers: International Man of Mystery
Janet Maslin,fresh,118655.0,New York Times,The film's singlemindedness is so dauntless and just plain nutty that it's hard to resist.,2000-01-01,10711.0,Austin Powers: International Man of Mystery
Jeff Millar,rotten,118655.0,Houston Chronicle,"Even at its best, it's not very funny.",2000-01-01,10711.0,Austin Powers: International Man of Mystery
James Berardinelli,fresh,118655.0,ReelViews,Austin Powers is worth a look and will definitely boost Myers' career.,2000-01-01,10711.0,Austin Powers: International Man of Mystery
Michael Wilmington,fresh,95675.0,Chicago Tribune,A feminist comedy with real bite; it always brings down the house.,2006-08-31,15186.0,Mujeres al borde de un ataque de nervios
Vincent Canby,fresh,95675.0,New York Times,"In Women on the Verge of a Nervous Breakdown, Mr. Almodovar sets out to charm rather than shock. That he succeeds should not come as a surprise.",2003-05-20,15186.0,Mujeres al borde de un ataque de nervios
Rita Kempley,fresh,95675.0,Washington Post,"This is painless sexual politics, a fiendish comedy full of prickles and pain and the bright shiny pinks of a matador's cape.",2000-01-01,15186.0,Mujeres al borde de un ataque de nervios
Desson Thomson,fresh,95675.0,Washington Post,"Women slinks devilishly (and expertly) between farce, absurdism and tragedy.",2000-01-01,15186.0,Mujeres al borde de un ataque de nervios
Andrea Gronvall,fresh,772157.0,Chicago Reader,"How Posey's neurotic, self-destructive heroine finds her way to healing is the core of this generous film, whose moral is that happiness can't begin unless you're open to its possibility.",2008-01-03,528343842.0,Broken English
Roger Moore,rotten,772157.0,Orlando Sentinel,A likable but wan romance.,2007-08-09,528343842.0,Broken English
Peter Debruge,fresh,772157.0,Miami Herald,"Filmmaking is a family affair for the Cassavetes, and Zoe inherits the unpretentious, performance-driven style from her father, John, while delivering a love story that's accessible enough for mainstream audiences, a trick learned from her brother Nick.",2007-07-27,528343842.0,Broken English
Bruce Westbrook,fresh,772157.0,Houston Chronicle,"Cassavetes supplies no easy answers or easy laughs, forgoing romantic-comedy beats in respect for Nora's desperation. Call this confection a romantic-dramedy with humor on wry.",2007-07-20,528343842.0,Broken English
Roger Ebert,rotten,772157.0,Chicago Sun-Times,"Broken English establishes a sympathetic character, gets Parker Posey to make her real, and then grinds her in the gears of a plot we cannot believe.",2007-07-20,528343842.0,Broken English
Michael Phillips,fresh,772157.0,Chicago Tribune,A promising first film with moments exceeding that promise.,2007-07-19,528343842.0,Broken English
Ann Hornaday,fresh,772157.0,Washington Post,"A welcome chance to see Posey at her flighty, edgy best. Is there an actress alive better able to convey the neuroses and self-doubts of the typical over-educated, under-challenged American woman?",2007-07-19,528343842.0,Broken English
Richard Roeper,fresh,772157.0,Ebert & Roeper,"This is a very uneven effort, it lost me a couple of times, but then I got back into it due to the performances, the understated directing and the writing.",2007-07-16,528343842.0,Broken English
Moira MacDonald,fresh,772157.0,Seattle Times,"Posey's comedic performances have always had a nervous vulnerability to them; here, she strips away just enough of the comedy to break our hearts.",2007-07-13,528343842.0,Broken English
Tom Long,fresh,772157.0,Detroit News,...there's a resolutely indie spirit at work here that keeps things interesting even when they shouldn't be.,2007-07-13,528343842.0,Broken English
John Monaghan,fresh,772157.0,Detroit Free Press,"...there are reasons to catch Broken English, chief among them Posey's winning performance as a woman unsure whether to trust her romantic instincts.",2007-07-13,528343842.0,Broken English
David Fear,fresh,772157.0,Time Out New York,"The fence-straddling would be fatal if it weren't for Posey, who takes what's essentially a character sketch and turns it into a three-dimensional mess in a dress.",2007-07-13,528343842.0,Broken English
Colin Covert,fresh,772157.0,Minneapolis Star Tribune,"Although it's conventionally filmed and rather flat looking, the first dramatic feature written and directed by Zoe Cassavetes displays a good deal of her father John's appreciation for unembellished honesty.",2007-07-12,528343842.0,Broken English
Carrie Rickey,fresh,772157.0,Philadelphia Inquirer,"As a director, Cassavetes is a keen observer of character and social interaction.",2007-07-12,528343842.0,Broken English
Ruthe Stein,none,772157.0,San Francisco Chronicle,"Broken English doesn't break any code or offer original insights on the subject. But there's a spark whenever Posey and Poupaud are together, and Paris and Manhattan glisten in the background.",2007-07-06,528343842.0,Broken English
Ty Burr,rotten,772157.0,Boston Globe,Broken English is a conventional New York-lonely hearts story made watchable by one element and one element only: Parker Posey.,2007-07-06,528343842.0,Broken English
Matt Zoller Seitz,rotten,772157.0,New York Times,The low-key comedy Broken English is a textbook example of an Indiewood film: a Hollywood fantasy wrapped in plain brown paper.,2007-06-22,528343842.0,Broken English
Lou Lumenick,fresh,772157.0,New York Post,"Posey is a delight throughout, and Zoe Cassavetes is clearly a filmmaker to watch.",2007-06-22,528343842.0,Broken English
Elizabeth Weitzman,rotten,772157.0,New York Daily News,The director doesn't have the confidence to veer too far from the norm. Her touchingly quirky screenplay eventually turns into a disappointingly conventional fairy tale.,2007-06-22,528343842.0,Broken English
Jonathan Rosenbaum,fresh,49833.0,Chicago Reader,"With a running time of nearly four hours, Cecil B. De Mille's last feature and most extravagant blockbuster is full of the absurdities and vulgarities one expects, but it isn't boring for a minute.",2008-03-04,9686.0,The Ten Commandments
Variety Staff,fresh,49833.0,Variety,DeMille remains conventional with the motion picture as an art form. The eyes of the onlooker are filled with spectacle. Emotional tug is sometimes lacking.,2007-10-19,9686.0,The Ten Commandments
Stephen Garrett,fresh,49833.0,Time Out,"It's the gigantic vulgarity, the obsessive righteousness of the director himself, which keeps the show on the road and suffuses the movie with its daft power.",2006-02-09,9686.0,The Ten Commandments
Bosley Crowther,rotten,49833.0,New York Times,"The crammed contents are linked ponderously in a long, warning movie sermon that has authority but little power.",2003-05-20,9686.0,The Ten Commandments
James Berardinelli,rotten,120479.0,ReelViews,"Warriors of Virtue is a great title. Unfortunately, it's not a great movie.",2000-01-01,12304.0,Warriors of Virtue
Mike Clark,fresh,119109.0,USA Today,"No masterpiece but undeniably heavy on laughs, the movie is put over by the buffed, lubricated dynamics of two leads who substantially transcend what is otherwise a borderline tepid dose of family values.",2000-01-01,309967861.0,Fathers' Day
Todd McCarthy,rotten,119116.0,Variety,A hodgepodge of elements that don't comfortably coalesce.,2008-09-04,10557.0,The Fifth Element
Geoff Andrew,rotten,119116.0,Time Out,Besson's futuristic fable is flawed by a messy narrative which strains to incorporate far too many grotesque and eccentric characters.,2006-01-26,10557.0,The Fifth Element
Mick LaSalle,fresh,119116.0,San Francisco Chronicle,"The Fifth Element has to be the most creative visualization since Tim Burton's first Batman in 1989. On top of that, it's a whole lot of fun.",2002-06-18,10557.0,The Fifth Element
Kevin Thomas,fresh,119116.0,Los Angeles Times,"There's no doubt about it, when it comes to saving the world, Bruce Willis is your man. He does it with smarts and style, humor and courage.",2001-02-14,10557.0,The Fifth Element
Janet Maslin,rotten,119116.0,New York Times,"Mr. Besson directs with ceaseless flamboyance and with an obvious enthusiasm for his film's comic book conceits. But the tone of The Fifth Element is often terribly shrill, especially when attention shifts to grating minor characters.",2000-01-01,10557.0,The Fifth Element
Roger Ebert,fresh,119116.0,Chicago Sun-Times,One of the great goofy movies -- a film so preposterous I wasn't surprised to discover it was written by a teenage boy.,2000-01-01,10557.0,The Fifth Element
Susan Wloszczyna,rotten,119116.0,USA Today,An overblown cosmic comic book.,2000-01-01,10557.0,The Fifth Element
Scott Rosenberg,rotten,119116.0,Salon.com,"As you sit through the interminable two-hours-plus that constitute The Fifth Element -- a colossally stupid, overbearingly pompous new movie by Luc Besson -- you can expect to become acquainted with boredom on the most elemental level.",2000-01-01,10557.0,The Fifth Element
James Berardinelli,rotten,119116.0,ReelViews,"A lot of money was spent on this film, but $100 million doesn't guarantee a good product. Maybe someone should have thought of spending a few more dollars on a better script.",2000-01-01,10557.0,The Fifth Element
Richard Nilsen,fresh,161860.0,Arizona Republic,"Everything in the film rings true, is deeply moving, richly photographed, and wonderfully acted.",2003-06-26,680048.0,Nirgendwo in Afrika
Eric Harrison,fresh,161860.0,Houston Chronicle,The acting is excellent.,2003-05-16,680048.0,Nirgendwo in Afrika
Vic Vogler,fresh,161860.0,Denver Post,The film has the glorious sweep of an epic.,2003-05-09,680048.0,Nirgendwo in Afrika
Robert Denerstein,fresh,161860.0,Denver Rocky Mountain News,Link creates a complex and fascinating portrait of a marriage under the enormous stress of geographical dislocation and historical trauma.,2003-05-09,680048.0,Nirgendwo in Afrika
Tom Long,fresh,161860.0,Detroit News,One very fine film.,2003-04-25,680048.0,Nirgendwo in Afrika
David Edelstein,fresh,161860.0,Slate,"The pacing of Nowhere in Africa is a mite drowsy, but there are payoffs for the director's uninsistent touch.",2003-04-22,680048.0,Nirgendwo in Afrika
Jane Sumner,fresh,161860.0,Dallas Morning News,"A worthy, complex and nuanced film.",2003-04-17,680048.0,Nirgendwo in Afrika
Jay Boyar,fresh,161860.0,Orlando Sentinel,"Nowhere in Africa is a movie of many moods and nuances. In addition to being a Holocaust saga, it's a girl's story, a woman's story and the story of a marriage.",2003-04-11,680048.0,Nirgendwo in Afrika
Peter Howell,fresh,161860.0,Toronto Star,"Superbly acted and brilliantly lensed, Nowhere In Africa is that hard-to-achieve movie where the small picture counts for more than the bigger one.",2003-04-05,680048.0,Nirgendwo in Afrika
Edward Guthmann,rotten,161860.0,San Francisco Chronicle,"A well-acted, exquisitely photographed, plot-jammed movie that sinks into melodrama and reveals too little about the African culture and landscape in which it's set.",2003-04-04,680048.0,Nirgendwo in Afrika
Glenn Lovell,fresh,161860.0,San Jose Mercury News,An instant family classic to be shared and enjoyed by parents and mature teens.,2003-04-03,680048.0,Nirgendwo in Afrika
Erik Lundegaard,fresh,161860.0,Seattle Times,"If there's a love story here, it's the Redlichs' -- and the director's -- love for the stark beauty of Africa.",2003-03-28,680048.0,Nirgendwo in Afrika
Ty Burr,fresh,161860.0,Boston Globe,"There's a lot more to Nowhere in Africa -- too much, actually ... Yet even if the movie has at least one act too many, the question that runs through it -- of whether belonging to a place is a matter of time or of will -- remains consistent.",2003-03-28,680048.0,Nirgendwo in Afrika
Eve Zibart,fresh,161860.0,Washington Post,What rescues the film is ... the quality of the acting.,2003-03-28,680048.0,Nirgendwo in Afrika
Liam Lacey,rotten,161860.0,Globe and Mail,Nowhere in Africa isn't really a dull film so much as an oddly quaint one that seems to find a comfortable perspective about drastic circumstances.,2003-03-28,680048.0,Nirgendwo in Afrika
Rita Kempley,fresh,161860.0,Washington Post,This consistently absorbing family saga is primarily a safari of the soul.,2003-03-28,680048.0,Nirgendwo in Afrika
Jeff Millar,fresh,117398.0,Houston Chronicle,"The film is entirely within the caught-on-the-run tradition of cinema verite, which makes it all the grittier and its conclusion all the more wrenching.",2001-02-21,20964.0,La promesse
Kenneth Turan,fresh,117398.0,Los Angeles Times,"The conflicts involved are intense and absorbing, proving that compelling moral dilemmas make for the most dramatic cinema.",2001-02-21,20964.0,La promesse
Stanley Kauffmann,fresh,117398.0,The New Republic,"The Dardenne brothers, as shown by their empathic casting, their very choice of theme, have confessed to a burden. They believe in hope.",2001-02-21,20964.0,La promesse
John Hartl,fresh,117398.0,Film.com,Ranks with the great European art-house classics about childhood betrayed and innocence lost.,2001-02-21,20964.0,La promesse
James Berardinelli,fresh,117398.0,ReelViews,Speaks volumes about how we treat other human beings and what it means to truly grow up.,2001-02-21,20964.0,La promesse
Stephen Holden,fresh,117398.0,New York Times,Almost everyone should be able to identify with the wrenching moral quandary facing Igor.,2001-02-21,20964.0,La promesse
Emanuel Levy,fresh,119578.0,Variety,"Terrence McNally's Tony award-winning play, a perceptive, often hilarious look and love and life in the AIDS era, is so sharply written and bluntly entertaining that it almost overcomes Joe Mantell's static direction, which is too theatrical.",2007-01-24,13973.0,Love! Valour! Compassion!
Mike Clark,rotten,119578.0,USA Today,"Outdoor settings alone do not a movie make, though director Joe Mantello (who also directed the play) seems to be trying.",2000-01-01,13973.0,Love! Valour! Compassion!
Mike Clark,rotten,117615.0,USA Today,This leisurely little import has its moments - but far too many of them. It runs two hours and seems to end five times.,2000-01-01,270611556.0,Shall we dansu?
Janet Maslin,fresh,117615.0,New York Times,Shall We Dance?' holds forth the sunny possibility that beyond the most timid exterior there may be a tangoing Walter Mitty to be found.,2000-01-01,270611556.0,Shall we dansu?
Susan Wloszczyna,fresh,118556.0,USA Today,This twisted romance possesses the soul and edgy atmosphere of an independent film but not quite the conviction.,2000-01-01,14675.0,Addicted to Love
,fresh,115744.0,Time Out,"Writer/director Herman pulls off a popular, proletarian comedy which might actually appeal to the people it's about.",2006-06-24,13333.0,Brassed Off
Roger Ebert,fresh,115744.0,Chicago Sun-Times,"""Brassed Off'' is a sweet film with a lot of anger at its core.",2000-01-01,13333.0,Brassed Off
Peter Stack,fresh,115744.0,San Francisco Chronicle,The characters are beautifully drawn in this bittersweet melodrama written and directed by Mark Herman.,2000-01-01,13333.0,Brassed Off
Susan Wloszczyna,fresh,115744.0,USA Today,A shining ensemble cast that hits all the right notes makes Brassed Off toot sweet.,2000-01-01,13333.0,Brassed Off
Stephen Holden,fresh,115744.0,New York Times,"Shamelessly manipulative and sentimental, but in an agreeably familiar way.",2000-01-01,13333.0,Brassed Off
,fresh,115744.0,Entertainment Weekly,"The cast is ardent as all get-out, but the most authentic emotional lift comes from the real-life Grimethorpe Colliery Brass Band, blowing their hearts out.",1997-05-23,13333.0,Brassed Off
Leonard Klady,rotten,119567.0,Variety,"The dinosaur creations are even better than those in the first film --- credible, breathtaking and frightening. As for the rest, every department pales by comparison.",2008-11-05,11605.0,The Lost World: Jurassic Park
Geoff Andrew,rotten,119567.0,Time Out,"In short, what you'd expect, and no more.",2006-06-24,11605.0,The Lost World: Jurassic Park
Mick LaSalle,rotten,119567.0,San Francisco Chronicle,"The Lost World has the vibe of 'obligatory sequel,' just what director Steven Spielberg probably wanted to avoid.",2002-06-18,11605.0,The Lost World: Jurassic Park
Rick Groen,rotten,119567.0,Globe and Mail,"Special effects demand dino closeups, but the technical miracles seem sadly mundane.",2002-04-12,11605.0,The Lost World: Jurassic Park
Kevin Thomas,fresh,119567.0,Los Angeles Times,"Many people will find much to divert them in The Lost World, and not worry whether or not it falls short of Jurassic Park.",2001-02-21,11605.0,The Lost World: Jurassic Park
Mike Clark,rotten,119567.0,USA Today,"Offers less screen rapture for your raptor than its predecessor did, unless your sole priority is dino-mighty effects.",2000-01-01,11605.0,The Lost World: Jurassic Park
James Berardinelli,fresh,119567.0,ReelViews,"Repetitiveness notwithstanding, The Lost World boasts several edge-of-the-seat moments.",2000-01-01,11605.0,The Lost World: Jurassic Park
Desson Thomson,fresh,119567.0,Washington Post,"Militaristic bounty hunters...intend to capture these animals, ship them to San Diego and make a profitable spectacle out of them.",2000-01-01,11605.0,The Lost World: Jurassic Park
Roger Ebert,rotten,119567.0,Chicago Sun-Times,"Where is the awe? Where is the sense that if dinosaurs really walked the earth, a film about them would be more than a monster movie? Where are the ooohs and ahhhs?",2000-01-01,11605.0,The Lost World: Jurassic Park
